,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
0,output52_ligand419_2023-11-22-15:52,-10.7210474,-5.2013999999999845,894.4460446400003,1.2071590425151568,[31.83609141 48.20319051 30.11541056]
1,output413_ligand369_2023-11-22-15:52,-10.5724316,6.464600000000009,443.32218606,1.2749189927145184,[32.45335344 45.466273   27.86242229]
2,output413_ligand422_2023-11-22-15:52,-10.4140177,1.3872000000000024,603.4359699240001,1.0179992791484065,[35.39086772 46.42381759 27.32160469]
3,output44_ligand421_2023-11-22-15:52,-10.2689772,0.058200000000007135,603.453100356,1.1506034255908726,[34.15016223 46.31790059 27.66744228]
4,output44_ligand217_2023-11-22-15:52,-10.2582359,1.0990000000000038,591.435969924,1.1522649016693522,[34.35768193 45.73515205 27.56357107]
5,output52_ligand420_2023-11-22-15:52,-10.2376575,-5.2013999999999845,894.4460446400003,1.2071590425151568,[31.97993782 48.31594283 30.12922856]
6,output26_ligand420_2023-11-22-15:52,-10.2104845,-5.2013999999999845,894.4460446400003,1.2071590425151568,[32.95467937 48.09207224 28.38965097]
7,output52_ligand379_2023-11-22-15:52,-10.1091642,3.6597000000000044,601.3760720999999,1.0473359660956938,[31.41129584 46.5712727  30.62033548]
8,output413_ligand217_2023-11-22-15:52,-10.0402784,1.0990000000000038,591.435969924,1.1522649016693522,[34.9609248  46.29650748 27.01787712]
9,output413_ligand646_2023-11-22-15:52,-9.9943943,-0.735199999999997,570.3403977999999,1.3479449148546834,[30.57523789 45.96938051 29.34367998]
10,output44_ligand420_2023-11-22-15:52,-9.98222351,-5.2013999999999845,894.4460446400003,1.2071590425151568,[34.1478257  47.71172187 28.29430571]
11,output44_ligand364_2023-11-22-15:52,-9.97706795,-7.249399999999985,658.268414632,1.4425338577402265,[37.99073213 48.27249551 27.35321609]
12,output44_ligand25_2023-11-22-15:52,-9.90625572,0.302400000000002,381.31037548800003,1.2791910861356637,[35.21871746 44.69129469 28.23458868]
13,output44_ligand289_2023-11-22-15:52,-9.8963213,2.799800000000001,460.37772677600003,1.0982620110221137,[35.87849793 45.3326934  26.48602684]
14,output44_ligand451_2023-11-22-15:52,-9.89025402,3.489000000000001,404.35151202799995,1.3151849977729102,[32.92106884 45.0224839  28.41802279]
15,output44_ligand422_2023-11-22-15:52,-9.83171844,1.3872000000000024,603.4359699240001,1.0179992791484065,[34.58954803 45.81256015 26.96698746]
16,output413_ligand379_2023-11-22-15:52,-9.73816681,3.6597000000000044,601.3760720999999,1.0473359660956938,[33.68983335 45.71034638 27.75048372]
17,output44_ligand432_2023-11-22-15:52,-9.73402405,0.9782999999999997,454.229071436,1.3200299092762184,[33.64189937 46.19171024 30.00480237]
18,output44_ligand206_2023-11-22-15:52,-9.72954941,1.4166000000000019,496.35594577599994,1.2480948937819019,[33.68818155 45.17872453 28.1659686 ]
19,output44_ligand65_2023-11-22-15:52,-9.70046806,3.655800000000003,433.24328410800007,1.2394193488668348,[35.67185108 45.2046084  28.08991466]
20,output44_ligand872_2023-11-22-15:52,-9.66201496,2.795900000000001,406.3195432039999,1.1847282389762082,[33.31255652 45.23414636 28.70861515]
21,output44_ligand159_2023-11-22-15:52,-9.62880135,1.2132000000000045,568.419985512,1.2521767916834972,[31.69978018 46.52615695 30.47566747]
22,output44_ligand375_2023-11-22-15:52,-9.60351086,4.548900000000003,548.418922892,1.0919277645571062,[31.42028494 45.6921915  29.28892554]
23,output413_ligand289_2023-11-22-15:52,-9.60119152,2.799800000000001,460.37772677600003,1.0982620110221137,[34.86298507 45.77360006 28.23345237]
24,output413_ligand421_2023-11-22-15:52,-9.51996136,0.058200000000007135,603.453100356,1.1506034255908726,[35.25009864 46.92712411 26.74350731]
25,output44_ligand361_2023-11-22-15:52,-9.50006199,4.868100000000005,455.387563188,1.1309184317204766,[34.47855556 45.82082195 27.42828048]
26,output44_ligand535_2023-11-22-15:52,-9.47045231,3.851100000000004,324.26644501199996,1.5139711556041273,[33.99024712 44.25794996 28.18164531]
27,output26_ligand159_2023-11-22-15:52,-9.4685545,1.2132000000000045,568.419985512,1.2521767916834972,[34.9445087  45.66261636 26.18574348]
28,output44_ligand59_2023-11-22-15:52,-9.44855404,6.187900000000007,458.3872288399999,1.0625667917727581,[33.38877632 44.39500969 28.10270126]
29,output44_ligand222_2023-11-22-15:52,-9.41687012,1.6666000000000027,476.38387477599997,1.1815970969468077,[33.9829311  46.0203595  28.54154929]
30,output44_ligand496_2023-11-22-15:52,-9.3929491,4.571700000000003,540.339707268,1.175664594046529,[33.32798807 45.02942936 26.23373785]
31,output44_ligand964_2023-11-22-15:52,-9.38373184,3.4744000000000033,366.27700969599994,1.674141956126637,[34.5837594  45.28625297 27.27248865]
32,output44_ligand180_2023-11-22-15:52,-9.37851429,3.345300000000002,398.30322444399997,1.6230804296417718,[33.79754705 44.07231398 28.00268488]
