,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
0,output413_ligand369_2023-11-21-14:35,-10.578,6.464600000000009,443.32218606,1.2749189927145184,[32.43858348 45.44542865 27.89059798]
1,output413_ligand422_2023-11-21-14:35,-10.191,1.3872000000000024,603.4359699240001,1.0179992791484065,[35.44770967 46.4085053  27.35491535]
2,output44_ligand217_2023-11-21-14:35,-10.119,1.0990000000000038,591.435969924,1.1522649016693522,[34.40206921 45.98633045 27.70563463]
3,output44_ligand421_2023-11-21-14:35,-9.883,0.058200000000007135,603.453100356,1.1506034255908726,[34.07121165 46.38276474 27.76697591]
4,output52_ligand375_2023-11-21-14:35,-9.872,4.548900000000003,548.418922892,1.0919277645571062,[28.55371621 46.66988528 33.04687761]
5,output44_ligand289_2023-11-21-14:35,-9.845,2.799800000000001,460.37772677600003,1.0982620110221137,[35.7336478  45.24969536 26.55454266]
6,output413_ligand217_2023-11-21-14:35,-9.841,1.0990000000000038,591.435969924,1.1522649016693522,[34.96555519 46.28777954 27.05260688]
7,output44_ligand451_2023-11-21-14:35,-9.657,3.489000000000001,404.35151202799995,1.3151849977729102,[33.06690516 44.95315708 28.43181673]
8,output44_ligand375_2023-11-21-14:35,-9.652,4.548900000000003,548.418922892,1.0919277645571062,[31.6026413  45.6075426  29.30703114]
9,output44_ligand59_2023-11-21-14:35,-9.619,6.187900000000007,458.3872288399999,1.0625667917727581,[33.6172703  44.45092109 27.87532921]
10,output52_ligand289_2023-11-21-14:35,-9.616,2.799800000000001,460.37772677600003,1.0982620110221137,[25.82460781 45.73194814 32.59635798]
11,output52_ligand646_2023-11-21-14:35,-9.613,-0.735199999999997,570.3403977999999,1.3479449148546834,[24.77599861 45.54081145 32.06693908]
12,output44_ligand422_2023-11-21-14:35,-9.606,1.3872000000000024,603.4359699240001,1.0179992791484065,[34.52491094 45.76925336 27.02518851]
13,output413_ligand379_2023-11-21-14:35,-9.556,3.6597000000000044,601.3760720999999,1.0473359660956938,[33.91268513 45.72627536 27.65623033]
14,output44_ligand206_2023-11-21-14:35,-9.518,1.4166000000000019,496.35594577599994,1.2480948937819019,[33.63277392 45.10118378 28.10065365]
15,output52_ligand369_2023-11-21-14:35,-9.502,6.464600000000009,443.32218606,1.2749189927145184,[26.29093519 45.22561285 32.03427938]
16,output44_ligand312_2023-11-21-14:35,-9.5,0.0,0.0,0.0,"[0, 0, 0]"
17,output44_ligand159_2023-11-21-14:35,-9.482,1.2132000000000045,568.419985512,1.2521767916834972,[30.44871453 45.49069255 29.551396  ]
18,output26_ligand289_2023-11-21-14:35,-9.477,2.799800000000001,460.37772677600003,1.0982620110221137,[30.24776089 28.3440936  29.97030121]
19,output413_ligand309_2023-11-21-14:35,-9.464,4.327000000000003,535.4349073039999,1.1273629529018818,[28.62379031 44.06343809 30.19657624]
20,output44_ligand65_2023-11-21-14:35,-9.441,3.655800000000003,433.24328410800007,1.2394193488668348,[35.6311432  45.23369995 28.20558915]
21,output44_ligand432_2023-11-21-14:35,-9.439,0.9782999999999997,454.229071436,1.3200299092762184,[33.84498488 45.83256345 29.50203609]
22,output52_ligand832_2023-11-21-14:35,-9.423,1.6453999999999989,305.246712612,1.3962870795938875,[26.38505153 43.58551494 31.29007473]
23,output44_ligand872_2023-11-21-14:35,-9.422,2.795900000000001,406.3195432039999,1.1847282389762082,[33.45686609 45.1838748  28.61977943]
24,output44_ligand180_2023-11-21-14:35,-9.418,3.345300000000002,398.30322444399997,1.6230804296417718,[33.78707848 44.05039162 28.04098375]
25,output52_ligand422_2023-11-21-14:35,-9.417,1.3872000000000024,603.4359699240001,1.0179992791484065,[24.71107094 45.12651951 29.62438156]
26,output44_ligand824_2023-11-21-14:35,-9.411,1.0102000000000042,492.415174904,1.000781624054973,[29.99904484 44.29172621 29.5344959 ]
27,output52_ligand669_2023-11-21-14:35,-9.401,5.877600000000007,445.39197987200004,1.4591286411314852,[25.8384586  44.22208216 31.72230027]
28,output44_ligand935_2023-11-21-14:35,-9.401,1.2829000000000006,336.288911772,1.2105216314799545,[34.11780421 44.21840112 28.26779818]
29,output52_ligand74_2023-11-21-14:35,-9.4,1.8473000000000006,419.32602555200003,1.1920305566638842,[24.8154638  44.33964865 30.80517925]
30,output52_ligand15_2023-11-21-14:35,-9.397,0.0,0.0,0.0,"[0, 0, 0]"
31,output52_ligand126_2023-11-21-14:35,-9.394,3.3249000000000013,394.319543204,1.423408789374031,[24.79191897 43.52277289 32.28596117]
32,output52_ligand277_2023-11-21-14:35,-9.322,6.980900000000009,428.41304966399997,1.2525490447172136,[24.49073291 43.99550565 32.18983238]
33,output26_ligand51_2023-11-21-14:35,-9.306,3.5448000000000013,390.249412956,1.311941239761813,[31.32409477 30.36078274 31.71723762]
34,output52_ligand309_2023-11-21-14:35,-9.305,4.327000000000003,535.4349073039999,1.1273629529018818,[29.81359414 45.47683232 29.65557224]
35,output52_ligand455_2023-11-21-14:35,-9.304,2.239699999999999,396.27882126400004,1.3985064132948244,[25.49479083 44.06277584 32.22332167]
36,output44_ligand288_2023-11-21-14:35,-9.303,2.9679,378.335861964,1.438904167813666,[32.95157534 44.74043483 28.23026186]
37,output44_ligand369_2023-11-21-14:35,-9.297,6.464600000000009,443.32218606,1.2749189927145184,[33.0413355  45.94027414 27.56535422]
38,output44_ligand91_2023-11-21-14:35,-9.292,0.4518000000000011,383.278406664,1.286883075376975,[36.20254383 45.31120393 27.82960644]
39,output44_ligand361_2023-11-21-14:35,-9.273,4.868100000000005,455.387563188,1.1309184317204766,[34.49988015 45.79414638 27.49959864]
40,output26_ligand15_2023-11-21-14:35,-9.236,0.0,0.0,0.0,"[0, 0, 0]"
41,output52_ligand234_2023-11-21-14:35,-9.232,2.437800000000001,433.24980896799997,1.375199045707881,[24.76127376 44.54590186 31.52425689]
42,output44_ligand483_2023-11-21-14:35,-9.196,0.6425999999999994,426.27888398799996,1.4168468840658468,[35.32296314 45.67382953 28.27087068]
43,output26_ligand656_2023-11-21-14:35,-9.182,4.000700000000003,377.340612996,1.453998781109932,[29.82357624 29.36268525 30.99083679]
44,output52_ligand141_2023-11-21-14:35,-9.179,2.5324999999999998,520.3182228759999,1.4499423099305337,[27.86623312 45.46380126 32.32268932]
45,output26_ligand422_2023-11-21-14:35,-9.176,1.3872000000000024,603.4359699240001,1.0179992791484065,[32.09815639 30.05416353 28.81543349]
